3826.460492 0.000130 26133.81223    1047 3826.462839  NoID
3826.601434 0.000133 26132.84966     994 3826.600536  NoID
3826.757990 0.000105 26131.78055   24848 3826.757909  ArII
3826.966088 0.000106 26130.35959    8712              ? 
3827.107288 0.000135 26129.39551     856 3827.107202  ThII
3827.454543 0.000105 26127.02486   18155 3827.454508  ThI
3827.893160 0.000104 26124.03111   38676 3827.892766  ArII
3828.033743 0.000118 26123.07172    1683 3828.035284  ThII
3828.587863 0.000118 26119.29087    1482 3828.588005  ThI
3828.797101 0.000142 26117.86349     790              ? 
3828.908544 0.000108 26117.10331    3463              ? 
3829.470857 0.000106 26113.26832  676195 3829.470859  ThI
3830.125769 0.000120 26108.80322    1490 3830.126446  NoID
3831.147108 0.000102 26101.84292   15740 3831.147286  ThI
3831.479852 0.000122 26099.57611    8120 3831.480499  ArII
3831.860554 0.000107 26096.98307  258455 3831.860461  ThI
3832.032819 0.000130 26095.80991    1033 3832.033128  ThII
3832.726518 0.000116 26091.08673   16626 3832.726949  ThI
3832.823406 0.000123 26090.42719    4136 3832.823683  ThII
3833.670341 0.000114 26084.66329    1696 3833.670545  NoID
3833.876225 0.000124 26083.26251    1183 3833.876432  ThII
3834.059165 0.000145 26082.01796     791 3834.059409  NoID
3834.173244 0.000117 26081.24194   14675 3834.173455  NoID
3835.310355 0.000474 26073.50925    3760              ? 
3835.356345 0.001463 26073.19660     988              ? 
3835.766113 0.000121 26070.41124  114520 3835.766281  ArI
3836.435720 0.000129 26065.86094    3292 3836.436448  ThI
3836.502160 0.000124 26065.40954    6877 3836.502151  ThI
3836.798670 0.000123 26063.39519   11988 3836.799316  ThI
3837.047479 0.000110 26061.70514    2539 3837.047602  ThI
3837.101546 0.000205 26061.33791     584              ? 
3837.301730 0.000134 26059.97835    2245 3837.301516  NoID
3837.628480 0.000222 26057.75950   26661 3837.627730  ThI
3837.673857 0.000119 26057.45140   98930 3837.673503  ThI
3837.809522 0.000125 26056.53028   12444 3837.809548  ThI
3837.929891 0.000157 26055.71306     788              ? 
3838.112882 0.000137 26054.47080    1918 3838.112557  ThI
3838.383309 0.000630 26052.63517    1940 3838.382185  NoID
3838.432789 0.000656 26052.29934    1716 3838.431557  NoID
3838.964190 0.000122 26048.69310  130832 3838.963969  ThI
3841.468763 0.000641 26031.70979    3631 3841.470267  NoID
3841.520122 0.000387 26031.36176    7462 3841.519334  ThI
3841.704151 0.000131 26030.11478    2161 3841.704074  NoID
3841.889593 0.000131 26028.85835   29450 3841.889939  ThI
3842.138843 0.000127 26027.16978    2402              ? 
3842.608181 0.000135 26023.99081   16354 3842.608006  ArII
3843.050088 0.000134 26020.99835   14650 3843.049933  ThII
3843.640176 0.000122 26017.00352    2490 3843.640165  ThI
3843.832999 0.000118 26015.69840    3863 3843.833339  ThI
3843.894098 0.000121 26015.28488    3100 3843.893607  ThI
3843.987944 0.000134 26014.64975   24564 3843.986813  ThI
3844.110109 0.000138 26013.82301    5851 3844.110539  ThI
3844.598857 0.000118 26010.51598    2985 3844.598913  NoID
3845.654015 0.000116 26003.37930    3574 3845.652698  ArII
3845.821642 0.000143 26002.24589    6925 3845.821316  ArII
3846.023500 0.000145 26000.88117    4358 3846.023496  ThI
3846.183099 0.000145 25999.80225    4579 3846.183003  ThI
3846.397358 0.000142 25998.35396    1068              ? 
3846.496175 0.000143 25997.68606   47054 3846.495770  ArII
3846.624743 0.000127 25996.81713    1526 3846.627647  ThII
3847.339887 0.000125 25991.98484    1481 3847.340055  ThII
3847.717742 0.000111 25989.43236    5016 3847.717677  ThI
3847.926773 0.000924 25988.02054    1964              ? 
3847.978316 0.000142 25987.67243   21650 3847.978706  ThI
3848.710564 0.000110 25982.72807    5818 3848.711167  ThI
3849.720593 0.000135 25975.91113     846              ? 
3850.151735 0.000120 25973.00233    1486 3850.150080  NoID
3850.273996 0.000116 25972.17759    1870 3850.274840  ThIII
3851.003100 0.000299 25967.26032    5078 3851.003222  ThI
3851.059683 0.002085 25966.87879     872              ? 
3851.225048 0.000112 25965.76382    2707 3851.225955  ThII
3851.375259 0.000124 25964.75110    1159 3851.374844  ThII
3851.673488 0.000105 25962.74069  287908 3851.672819  ArII
3852.166737 0.000108 25959.41630    4070 3852.166797  ThI
3852.250677 0.000106 25958.85065    7304 3852.250522  ThI
3853.227582 0.000159 25952.26933   59418 3853.227705  ThI
3854.051259 0.000124 25946.72288    1132 3854.051658  ThII
3854.884096 0.001593 25941.11717    2060 3854.880287  NoID
3854.921840 0.000556 25940.86317    4416 3854.920573  ThI
3855.220066 0.000120 25938.85648    1281 3855.221654  NoID
3855.603289 0.000162 25936.27832   17652 3855.603902  ThII
3855.969637 0.000910 25933.81417    1085 3855.970509  ThII
3856.022279 0.000755 25933.46012    1235              ? 
3856.159258 0.000111 25932.53891    1950 3856.158531  NoID
3856.252114 0.000109 25931.91447    2516 3856.253493  ArII
3857.611844 0.000167 25922.77400    5183 3857.611129  ThI
3857.717157 0.000165 25922.06632    8577 3857.717726  ThI
3857.842165 0.000130 25921.22635    1053              ? 
3858.601936 0.000173 25916.12238    2521 3858.602708  ThII
3859.997638 0.001757 25906.75160    3940 3859.998011  NoID
3860.025911 0.006103 25906.56185    1486              ? 
3863.753212 0.000667 25881.57020    4788 3863.753093  ThII
3863.801294 0.001216 25881.24813    1601 3863.798073  ThII
3864.501293 0.000159 25876.56011   17403 3864.501264  ThII
3865.363186 0.000169 25870.79019     860 3865.363409  ArI
3865.933176 0.000159 25866.97582    3153 3865.933897  NoID
3866.067061 0.000129 25866.08003    2103 3866.065107  ThI
3867.165849 0.000145 25858.73063    1148 3867.164328  ThII
3867.375199 0.000121 25857.33084    2606              ? 
3868.004626 0.000113 25853.12317   14044 3868.005444  ThI
3868.674754 0.000128 25848.64491    1494 3868.675055  ThII
3868.948613 0.000135 25846.81525    1194 3868.947018  ThII
3869.351878 0.000147 25844.12148    4370 3869.351382  ThI
3869.625305 0.000143 25842.29534  173914 3869.624802  ArII
3870.499332 0.000149 25836.45970     760              ? 
3870.760238 0.000141 25834.71821   33176 3870.760344  ThI
3871.276757 0.000126 25831.27125    1306              ? 
3872.168688 0.000154 25825.32117     666              ? 
3872.553092 0.000127 25822.75765    1136 3872.553760  ThII
3872.714247 0.000114 25821.68309    2584 3872.714936  NoID
3873.234962 0.000108 25818.21165   15722 3873.234624  ArII
3873.457278 0.000119 25816.72982    1599 3873.457911  ThII
3873.601818 0.000110 25815.76649    5142 3873.602671  NoID
3873.768907 0.000195 25814.65296   10393 3873.768587  ThI
3873.820103 0.000152 25814.31180   13449 3873.820043  ThII
3873.959752 0.000128 25813.38124    1045              ? 
3874.245786 0.000107 25811.47545   42419 3874.245824  ThI
3874.516768 0.000237 25809.67021    6175 3874.518030  ThI
3874.571943 0.000107 25809.30267   94974 3874.572029  ThI
3874.920161 0.000106 25806.98333  424686 3874.920481  ThI
3875.341905 0.000106 25804.17482   82454 3875.341968  ThI
3875.960671 0.000106 25800.05539  189023 3875.960294  ThI
3876.076870 0.000106 25799.28194   14146 3876.076621  NoID
3876.363528 0.000105 25797.37408   32694 3876.362548  ArII
3876.471876 0.000105 25796.65304   71726 3876.471611  ThI
3876.745011 0.000106 25794.83554   13544 3876.744717  ThI
3877.064522 0.000120 25792.70978    1275              ? 
3877.551796 0.000142 25789.46853     734              ? 
3878.521878 0.001186 25783.01816    1683              ? 
3878.561866 0.000282 25782.75233    9302 3878.561991  ThI
3878.654883 0.000139 25782.13402    2369 3878.655502  ThI
3878.708611 0.000107 25781.77688    7194 3878.708052  ThI
3879.259225 0.000127 25778.11747     909              ? 
3879.422844 0.000129 25777.03025     855              ? 
3879.608432 0.001748 25775.79716     840              ? 
3879.672672 0.000112 25775.37036    8623              ? 
3879.761672 0.000104 25774.77909   13236 3879.761309  ThI
3879.816337 0.000781 25774.41593    1057 3879.812849  NoID
3880.368188 0.000129 25770.75039   11481 3880.368322  ThI
3880.547224 0.000104 25769.56141    5818 3880.544922  ThI
3880.743712 0.000125 25768.25666   60651 3880.743691  ThI
3880.992456 0.000144 25766.60510     677              ? 
3881.084110 0.000129 25765.99660     885              ? 
3881.293898 0.000129 25764.60393    8958 3881.294595  ThI
3881.432284 0.000130 25763.68533   16202 3881.432530  ArII
3882.599007 0.000114 25755.94333    1560 3882.598107  ThII
3883.244354 0.000139 25751.66301    2253 3883.243225  ThII
3883.424255 0.000141 25750.47006    1923 3883.425138  ThI
3884.868572 0.000142 25740.89654    1916 3884.869001  ThI
3885.624816 0.000142 25735.88669    2070 3885.625359  ThII
3885.729431 0.000114 25735.19381    1784 3885.730354  NoID
3885.920902 0.000136 25733.92576    8494 3885.923478  NoID
3886.168109 0.000138 25732.28877    4813 3886.168528  ThII
3886.325906 0.000138 25731.24396    4362 3886.326489  ThI
3886.505768 0.000142 25730.05316    2486 3886.504915  NoID
3886.869574 0.000139 25727.64486    5034 3886.869341  ThII
3887.106167 0.000116 25726.07891    1822 3887.106139  NoID
3887.731871 0.000152 25721.93848    1495 3887.731686  NoID
3888.017808 0.000132 25720.04680  116315 3888.017416  ThI
3888.121990 0.000137 25719.35764   21460 3888.120983  ThI
3890.644568 0.000147 25702.68197    3139 3890.644428  ThI
3890.711447 0.000152 25702.24016    1846 3890.711153  ThI
3891.008506 0.000147 25700.27792    3106 3891.008206  ThI
3892.307444 0.000149 25691.70124    3184 3892.307087  ThI
3892.504430 0.000145 25690.40108   18085 3892.503896  ArII
3892.622803 0.000152 25689.61984    2427 3892.622825  ThI
3892.828887 0.000146 25688.25985    7677 3892.828743  ThI
3893.082045 0.000146 25686.58940   50971 3893.081469  ArII
3893.314146 0.000135 25685.05809    1200 3893.314826  NoID
3893.410089 0.000121 25684.42515    2325 3893.410945  ThII
3893.722650 0.000154 25682.36338     712              ? 
3893.811803 0.000155 25681.77536    2353 3893.812190  NoID
3894.447469 0.000116 25677.58348    3338 3894.446268  NoID
3894.755139 0.000152 25675.55506    8892 3894.755178  ThI
3894.917854 0.000135 25674.48243    1090              ? 
3895.512098 0.000137 25670.56589     919 3895.513372  ThII
3895.763534 0.000111 25668.90909   16986 3895.763290  ArI
3896.354498 0.000117 25665.01586    2802 3896.353050  ArII
3896.522947 0.000109 25663.90635  129930 3896.522909  ThI
3896.759819 0.000112 25662.34632    4407              ? 
3897.270816 0.000128 25658.98156    1051              ? 
3897.378590 0.000149 25658.27201     599              ? 
3898.420853 0.000133 25651.41214     787              ? 
3898.716444 0.000132 25649.46731     837              ? 
3898.882349 0.000116 25648.37588    1779 3898.881905  ThI
3899.458006 0.000122 25644.58954    1352              ? 
3899.541818 0.000107 25644.03837   46500 3899.541935  ThI
3899.613128 0.000108 25643.56943    8747 3899.614669  ThI
3899.900264 0.000110 25641.68138    3858 3899.901250  NoID
3900.813817 0.000108 25635.67622    6832              ? 
3900.982303 0.000108 25634.56900    6682              ? 
3901.682294 0.000164 25629.96996   19256 3901.681801  ThI
3901.731712 0.000227 25629.64534   11077 3901.731444  ArII
3901.983250 0.000137 25627.99315   17311 3901.983592  ThII
3902.257740 0.000116 25626.19044    1550 3902.257396  ThII
3902.767225 0.000134 25622.84508   18965 3902.767436  ThI
3903.276404 0.000139 25619.50260    4957 3903.276298  NoID
3903.894739 0.000117 25615.44475    1371 3903.894274  NoID
3904.050901 0.000115 25614.42013    1572              ? 
3904.207971 0.000127 25613.38964   53876 3904.208099  ThI
3904.413935 0.000131 25612.03849    1162              ? 
3904.587315 0.000131 25610.90121    9824 3904.587058  ThI
3905.021700 0.000109 25608.05232    2432 3905.022115  NoID
3905.109634 0.000135 25607.47569    3783 3905.109723  NoID
3905.188219 0.000130 25606.96038    9696 3905.188780  ThII
3906.292246 0.000130 25599.72314    6488 3906.292771  ThII
3906.401737 0.000233 25599.00562     613              ? 
3906.463379 0.000135 25598.60168     814 3906.462643  ThII
3906.912786 0.000190 25595.65710     441              ? 
3907.414797 0.000123 25592.36866     985              ? 
3907.585420 0.000119 25591.25118    1282              ? 
3908.266892 0.000130 25586.78892    4654 3908.267063  ThI
3908.650147 0.000133 25584.28006    4923 3908.650079  ThI
3909.855555 0.000128 25576.39243    6974 3909.856277  ThI
3910.087432 0.000129 25574.87569    5748 3910.086956  ThI
3910.245904 0.000127 25573.83920   12448 3910.246318  ThI
3911.628686 0.000132 25564.79871    2777 3911.628627  ThI
3911.881270 0.000128 25563.14803    5738 3911.881138  ThI
3912.084663 0.000710 25561.81898    3535 3912.085395  NoID
3912.122218 0.003204 25561.57360    1398              ? 
3912.629396 0.000929 25558.26016    1051              ? 
3912.684102 0.000180 25557.90281    8416 3912.683690  ArII
3913.017161 0.000135 25555.72743   95548 3913.017135  ThI
3913.061024 0.000221 25555.44097   24469 3913.059717  ThI
3913.318558 0.000135 25553.75917    1868 3913.318416  ThI
3913.390215 0.000129 25553.29127    4107 3913.389122  ThII
3913.598799 0.000134 25551.92935    1196              ? 
3914.113541 0.000129 25548.56903    3977 3914.113592  ThII
3914.190760 0.000126 25548.06501    7271 3914.190164  ThI
3914.753870 0.000127 25544.39010    4938 3914.753441  ThI
3914.932115 0.000400 25543.22708    5491 3914.932372  ThII
3914.973289 0.000619 25542.95844    3164 3914.973540  NoID
3915.273444 0.000127 25541.00025    4955 3915.270891  NoID
3915.399404 0.000142 25540.17858    1220              ? 
3915.876980 0.000124 25537.06373   26200 3915.875666  ArII
3916.403416 0.000127 25533.63108    3464 3916.404242  ThI
3916.957559 0.000124 25530.01877    5517 3916.957907  ThI
3917.526591 0.000114 25526.31046  234600 3917.526800  ThI
3917.707548 0.000127 25525.13141    3104 3917.707258  ThI
3917.833573 0.000127 25524.31035    3277 3917.833565  ThII
3917.905871 0.000130 25523.83934    2467 3917.905739  ThII
3918.378388 0.000120 25520.76142   15959 3918.378698  ThI
3918.877161 0.000120 25517.51328    2458 3918.876436  ArII
3919.117226 0.000150 25515.95021    1200 3919.118410  ThII
3919.179706 0.000120 25515.54343   14663 3919.179711  NoID
3919.611132 0.000112 25512.73497   17304              ? 
3920.043654 0.000120 25509.92000   19575 3920.043331  ThI
3920.133144 0.000117 25509.33765   74920 3920.133274  ThI
3920.385140 0.000292 25507.69795    6202 3920.385348  ThI
3920.436683 0.001357 25507.36259    1155              ? 
3920.570061 0.000114 25506.49483    4817 3920.570204  NoID
3921.089720 0.000113 25503.11448    5138 3921.089855  NoID
3921.167120 0.000113 25502.61107    4461 3921.167715  ThI
3921.333729 0.007918 25501.52752     841              ? 
3921.368569 0.000574 25501.30095    3975              ? 
3921.422870 0.000608 25500.94782    2345 3921.422781  ThII
3921.551844 0.000112 25500.10913    7403 3921.552357  NoID
3922.063847 0.000139 25496.78024     707              ? 
3922.321878 0.000162 25495.10293     457              ? 
3922.505044 0.000125 25493.91241    1540 3922.504537  NoID
3922.563817 0.000112 25493.53042    4634 3922.563790  NoID
3922.649113 0.000127 25492.97608     982              ? 
3922.830774 0.002367 25491.79553     313              ? 
3922.890679 0.000171 25491.40626    2246 3922.890457  ThI
3923.327818 0.000117 25488.56599    1794 3923.329787  ThII
3923.857567 0.000141 25485.12485     632              ? 
3924.022693 0.000110 25484.05242    7452              ? 
3924.910479 0.000108 25478.28811   76716 3924.910650  ThI
3925.515604 0.000108 25474.36059   10200 3925.514663  NoID
3926.205097 0.000106 25469.88696  229581 3926.204890  ThI
3926.330131 0.000107 25469.07587   28853 3926.330574  ThI
3926.708180 0.000107 25466.62380   12872 3926.707255  ThI
3926.830742 0.000106 25465.82895  216491 3926.830118  ArII
3927.157411 0.000127 25463.71065   18702 3927.157018  ArII
3927.817459 0.000123 25459.43162    1050 3927.818372  ThII
3927.975727 0.000107 25458.40579    4400 3927.974877  ThI
3928.288310 0.000109 25456.38001    2764 3928.288157  ThII
3928.451411 0.000113 25455.32311    2049              ? 
3928.533330 0.000107 25454.79231    4077 3928.533733  ThII
3928.918288 0.000126 25452.29823    5249 3928.918401  ThI
3929.031757 0.000126 25451.56318    7130              ? 
3929.173875 0.000129 25450.64260     823              ? 
3929.417905 0.000118 25449.06203    1256 3929.418558  NoID
3929.735911 0.000122 25447.00261  204080 3929.735141  ArII
3929.976286 0.000122 25445.44616   13675 3929.977037  ThI
3930.402680 0.000120 25442.68568   24606 3930.402925  ThI
3930.508869 0.000124 25441.99831    6178 3930.507866  NoID
3930.781812 0.000115 25440.23168  173922 3930.781949  ThII
3931.084112 0.000111 25438.27533    1937 3931.084550  NoID
3931.771075 0.000120 25433.83073    1050 3931.770554  NoID
3932.198057 0.000113 25431.06897    1536 3932.198161  ThI
3932.542194 0.000145 25428.84350     676              ? 
3932.620489 0.000149 25428.33723     540              ? 
3933.111068 0.000168 25425.16554    2077 3933.107377  NoID
3933.339774 0.000127 25423.68718    3809 3933.339710  ThII
3933.660215 0.000124 25421.61614  105302 3933.659664  ArII
3934.024787 0.000118 25419.26028  141439 3934.024768  ThI
3934.147960 0.000103 25418.46443    5339 3934.148878  ThI
3934.202519 0.000155 25418.11193     596 3934.203190  NoID
3934.297910 0.000480 25417.49565    1990              ? 
3934.351280 0.000143 25417.15085    9434 3934.351087  ThI
3934.468265 0.000162 25416.39512     550 3934.467153  ThII
3934.774849 0.000126 25414.41476   24698 3934.774827  Contam
3935.083700 0.000135 25412.42007    1623 3935.084625  NoID
3935.174234 0.000137 25411.83542    1419 3935.173882  ThI
3935.389394 0.000123 25410.44608   11352 3935.388090  NoID
3935.911453 0.000156 25407.07564    1703 3935.912203  NoID
3937.054620 0.000138 25399.69842    1374 3937.053073  ThII
3937.140326 0.000159 25399.14550     696              ? 
3937.410221 0.000388 25397.40448     788              ? 
3937.468052 0.000128 25397.03146    6092 3937.467581  NoID
3938.154423 0.000122 25392.60508    6099 3938.155118  ThII
3938.402868 0.000158 25391.00324    1053              ? 
3938.480678 0.000219 25390.50161     678              ? 
3938.974800 0.000178 25387.31652    1172              ? 
3939.038998 0.000128 25386.90276    4275 3939.038510  ThII
3939.210149 0.000430 25385.79975    1493              ? 
3939.266365 0.000167 25385.43747    3384 3939.267199  ThI
3939.537359 0.000136 25383.69125    1540 3939.537647  ThII
3939.728657 0.000124 25382.45872   15778 3939.729343  ThI
3939.799232 0.000246 25382.00403   11856 3939.798772  NoID
3939.842512 0.001136 25381.72521    1132 3939.841504  NoID
3939.896379 0.000180 25381.37818    3045 3939.895895  ThII
3940.269573 0.000120 25378.97424    5326 3940.274393  NoID
3940.433837 0.000128 25377.91627    3483 3940.433988  ThI
3940.653299 0.000138 25376.50293    1357              ? 
3941.312040 0.000173 25372.26157     593              ? 
3941.820828 0.000129 25368.98666    2746 3941.822546  ThI
3941.957028 0.000109 25368.11013    3320 3941.954235  ThI
3942.250925 0.000139 25366.21892    1031 3942.252980  ThI
3942.347957 0.000134 25365.59459    1141              ? 
3942.841971 0.000155 25362.41643     921              ? 
3943.474535 0.000125 25358.34810    5057 3943.473991  NoID
3943.672000 0.000123 25357.07838    8592 3943.671779  NoID
3943.969126 0.000174 25355.16806     745 3943.969773  ThII
3944.023875 0.000125 25354.81609    5650 3944.024215  ThI
3944.105649 0.000167 25354.29040     606              ? 
3944.288450 0.000142 25353.11534     763              ? 
