WAVE	FLUX	ERR
5041.6353111344	0.02032681554555893	0.14257213473320007
5041.6795639547	0.023409752175211906	0.15300245583057404
5041.723816775	0.03023550659418106	0.1738836020231247
5041.7680695953	0.037329573184251785	0.19320861995220184
5041.812322415601	0.0427127443253994	0.2066706120967865
5041.8565752359	0.04724506661295891	0.21735930442810059
5041.9008280562	0.04608863964676857	0.2146826535463333
5041.9450808765	0.04472685605287552	0.21148724853992462
5041.9893336968	0.04240930452942848	0.20593519508838654
5042.0335865171	0.03922829031944275	0.19806133210659027
5042.0778393374	0.037625811994075775	0.19397373497486115
5042.1220921577005	0.039688460528850555	0.19921962916851044
5042.166344978	0.04347623884677887	0.20850956439971924
5042.2105977983	0.047887809574604034	0.2188328355550766
5042.2548506186	0.04872089624404907	0.2207280993461609
5042.2991034389	0.05040020868182182	0.22449991106987
5042.3433562592	0.04940759390592575	0.2222781926393509
5042.3876090795	0.04994170740246773	0.22347640991210938
5042.4318618998	0.05015801265835762	0.22395984828472137
5042.476114720101	0.04990251734852791	0.22338871657848358
5042.5203675404	0.04796769469976425	0.21901528537273407
5042.5646203607	0.047983210533857346	0.21905070543289185
5042.608873181	0.04934825375676155	0.22214466333389282
5042.6531260013	0.04901672154664993	0.22139720618724823
5042.6973788216	0.05000341311097145	0.2236144244670868
5042.7416316419	0.05031701922416687	0.22431455552577972
5042.785884462201	0.04896154999732971	0.2212725728750229
5042.8301372825	0.049171362072229385	0.22174616158008575
5042.8743901028	0.04844703525304794	0.22010686993598938
5042.9186429231	0.049673497676849365	0.22287552058696747
5042.9628957434	0.04889862984418869	0.2211303412914276
5043.0071485637	0.04999507591128349	0.2235957831144333
5043.051401384	0.04953870177268982	0.2225729078054428
5043.0956542043	0.049038421362638474	0.2214462012052536
5043.1399070246	0.04838092252612114	0.219956636428833
5043.1841598449	0.04949628561735153	0.22247759997844696
5043.2284126652	0.04843011125922203	0.22006842494010925
5043.2726654855	0.048903848975896835	0.22114214301109314
5043.3169183058	0.04907316714525223	0.22152464091777802
5043.3611711261	0.04805825278162956	0.21922191977500916
5043.4054239464	0.04703609272837639	0.21687805652618408
5043.449676766701	0.04824013635516167	0.21963636577129364
5043.493929587	0.04951954260468483	0.22252987325191498
5043.5381824073	0.04810250177979469	0.2193228304386139
5043.5824352276	0.048276387155056	0.21971888840198517
5043.6266880479	0.04851521924138069	0.22026170790195465
5043.6709408682	0.04884815961122513	0.22101619839668274
5043.7151936885	0.04929230362176895	0.22201870381832123
5043.7594465088005	0.050008468329906464	0.22362573444843292
5043.8036993291	0.04886370152235031	0.22105135023593903
5043.8479521494	0.0500115342438221	0.2236325889825821
5043.8922049697	0.04923389479517937	0.22188712656497955
5043.93645779	0.04743947461247444	0.21780604124069214
5043.9807106103	0.044893957674503326	0.21188193559646606
5044.0249634306	0.03932364284992218	0.19830189645290375
5044.0692162509	0.03581959754228592	0.18926066160202026
5044.113469071201	0.03494405001401901	0.18693327903747559
5044.1577218915	0.037100858986377716	0.1926158368587494
5044.2019747118	0.04308291897177696	0.20756424963474274
5044.2462275321	0.04727701470255852	0.21743278205394745
5044.2904803524	0.04887499287724495	0.22107689082622528
5044.3347331727	0.049377717077732086	0.22221097350120544
5044.378985993	0.04982447624206543	0.22321397066116333
5044.4232388133005	0.05094568431377411	0.22571150958538055
5044.4674916336	0.050652049481868744	0.2250601053237915
5044.5117444539	0.05055314674973488	0.22484026849269867
5044.5559972742	0.04963165521621704	0.22278162837028503
5044.6002500945	0.049013640731573105	0.2213902473449707
5044.6445029148	0.048753272742033005	0.2208014279603958
5044.6887557351	0.049918677657842636	0.22342488169670105
5044.7330085554	0.04954276606440544	0.22258204221725464
5044.777261375701	0.04986897110939026	0.2233136147260666
5044.821514196	0.048984456807374954	0.22132432460784912
5044.8657670163	0.050058335065841675	0.2237371951341629
5044.9100198366	0.04906690865755081	0.22151051461696625
5044.9542726569	0.0496893934905529	0.22291117906570435
5044.9985254772	0.050531938672065735	0.22479310631752014
5045.0427782975	0.04881912097334862	0.22095049917697906
5045.0870311178005	0.04794332757592201	0.21895964443683624
5045.1312839381	0.04829039424657822	0.2197507619857788
5045.1755367584	0.048403263092041016	0.22000741958618164
5045.2197895787	0.04813797026872635	0.21940366923809052
5045.264042399	0.0479397252202034	0.21895141899585724
5045.3082952193	0.048489317297935486	0.22020289301872253
5045.3525480396	0.04843178391456604	0.22007222473621368
5045.3968008599	0.049069490283727646	0.22151634097099304
5045.441053680201	0.04939199984073639	0.22224311530590057
5045.4853065005	0.04886322095990181	0.22105026245117188
5045.5295593208	0.048461634665727615	0.22014003992080688
5045.5738121411	0.049359630793333054	0.22217027842998505
5045.6180649614	0.05042153596878052	0.2245474010705948
5045.6623177817	0.049691829830408096	0.2229166477918625
5045.706570602	0.04936916008591652	0.222191721200943
5045.7508234223005	0.04900854080915451	0.22137872874736786
5045.7950762426	0.0493895448744297	0.22223758697509766
5045.8393290629	0.05008663237094879	0.2238004356622696
5045.8835818832	0.0493709035217762	0.22219564020633698
5045.9278347035	0.04924916476011276	0.22192153334617615
5045.9720875238	0.04952073097229004	0.22253254055976868
5046.0163403441	0.0501214973628521	0.22387830913066864
5046.0605931644	0.04932686313986778	0.2220965176820755
5046.104845984701	0.05002822354435921	0.2236699014902115
5046.149098805	0.0492323637008667	0.22188366949558258
5046.1933516253	0.04941467195749283	0.22229410707950592
5046.2376044456	0.05022015795111656	0.2240985482931137
5046.2818572659	0.04956958070397377	0.22264227271080017
5046.3261100862	0.049627017229795456	0.22277122735977173
5046.3703629065	0.05041765421628952	0.22453875839710236
5046.414615726801	0.05052114650607109	0.22476910054683685
5046.4588685471	0.050137098878622055	0.22391314804553986
5046.5031213674	0.04934541881084442	0.22213828563690186
5046.5473741877	0.04966812580823898	0.22286346554756165
5046.591627008	0.051427483558654785	0.22677628695964813
5046.6358798283	0.050400201231241226	0.2244998961687088
5046.6801326486	0.04947958514094353	0.22244006395339966
5046.7243854689	0.04965122416615486	0.2228255420923233
5046.7686382892	0.048451732844114304	0.22011753916740417
5046.8128911095	0.050354115664958954	0.2243972271680832
5046.8571439298	0.048923879861831665	0.22118742763996124
5046.9013967501	0.04943615943193436	0.22234243154525757
5046.9456495704	0.049465663731098175	0.22240877151489258
5046.9899023907	0.04910663515329361	0.22160017490386963
5047.034155211	0.04897418990731239	0.2213011234998703
