5.512274644290916967e+02 5.011915947966390945e+02 2.238730878861144191e+01
5.512317018170040228e+02 9.490836099700651403e+02 3.080720061884989036e+01
5.512359383774744401e+02 9.099974984275866063e+02 3.016616479480920887e+01
5.512401741109758859e+02 9.363153918208132609e+02 3.059927109950191593e+01
5.512444090179789100e+02 9.634484219163483658e+02 3.103946555461850210e+01
5.512486430989504242e+02 1.032225859000251603e+03 3.212827195789171952e+01
5.512528763543548393e+02 1.030227153965099660e+03 3.209715180456203143e+01
5.512571087846533828e+02 1.094592623788905712e+03 3.308462820992410514e+01
5.512613403903040989e+02 1.245625232152340004e+03 3.529341627205192822e+01
5.512655711717627582e+02 1.199947763092936611e+03 3.464026216836322902e+01
5.512698011294812659e+02 1.047695104972279069e+03 3.236811865049124037e+01
5.512740302639095944e+02 1.012019924860601577e+03 3.181226060594565297e+01
5.512782585754939646e+02 9.204031263849835796e+02 3.033814639006449809e+01
5.512824860646783236e+02 6.772888088559033122e+02 2.602477298375344716e+01
5.512867127319034353e+02 7.125622876706157740e+02 2.669386235955029107e+01
5.512909385776068802e+02 7.362878027668414234e+02 2.713462368942752434e+01
5.512951636022241928e+02 9.462642166120731417e+02 3.076140791010829290e+01
5.512993878061871555e+02 9.312968985968898323e+02 3.051715744621195725e+01
5.513036111899251637e+02 1.095596489976383282e+03 3.309979592046427399e+01
5.513078337538649976e+02 1.234394794441048134e+03 3.513395500710171859e+01
5.513120554984300270e+02 1.299883644591323673e+03 3.605389915933259459e+01
5.513162764240415754e+02 1.243234216732321102e+03 3.525952660958908780e+01
5.513204965311172145e+02 1.326232033895985978e+03 3.641746880133194963e+01
5.513247158200726972e+02 1.353704295808050574e+03 3.679272069048510474e+01
5.513289342913203654e+02 1.213745670779015882e+03 3.483885289126230589e+01
5.513331519452699467e+02 1.326467248754205684e+03 3.642069808164315958e+01
5.513373687823284399e+02 1.313319498666108757e+03 3.623975025667407834e+01
5.513415848029004565e+02 1.333521978452494295e+03 3.651742020532795152e+01
5.513458000073871972e+02 1.411349791593714599e+03 3.756793568448650689e+01
5.513500143961874755e+02 1.295499469375334002e+03 3.599304751442053174e+01
5.513542279696977175e+02 1.347233392698295347e+03 3.670467807648359582e+01
